Timestamp,Trial_ID,Horizontal_Ratio,Vertical_Ratio,EAR,Eye_Direction,Dwell_Confirmed,Blink_Duration_ms,Input_Source,FSM_State,Wheelchair_Command,Left_PWM,Right_PWM,Fail_Safe_Triggered,FPS
1788178023.2310221,logic1,0.1980042959479785,0.4110757494929397,0.31839146638877114,RIGHT,False,,GAZE,STOPPED,S,0,0,,31.288400856377702
1788178023.2629354,logic1,0.1993275048177471,0.41287575205581395,0.31989674098242066,RIGHT,False,,GAZE,STOPPED,S,0,0,,31.33538535098467
1788178023.2986372,logic1,0.19285076505842136,0.40842408520716256,0.32263636829397835,RIGHT,False,,GAZE,STOPPED,S,0,0,,28.00964305986844
1788178023.3308487,logic1,0.1970813338527443,0.41175914740306885,0.32028801373041804,RIGHT,False,,GAZE,STOPPED,S,0,0,,31.044772584286296
1788178023.3631256,logic1,0.19957350945933305,0.41306480689887204,0.3197404403429155,RIGHT,False,,GAZE,STOPPED,S,0,0,,30.981481891845977
1788178023.3987343,logic1,0.1947313223009975,0.4097387657303231,0.32195639319116776,RIGHT,False,,GAZE,STOPPED,S,0,0,,28.083722798794778
1788178023.4308684,logic1,0.19788753732621,0.4154737911416557,0.31816568648212307,RIGHT,False,,GAZE,STOPPED,S,0,0,,31.119170215607426
1788178023.4629886,logic1,0.19899329416812334,0.4207328643966189,0.31671789150356255,RIGHT,True,,GAZE,TURN_RIGHT,R,19,10,,31.132567322822958
1788178023.4994025,logic1,0.19041014415159432,0.4146668745275495,0.3203292313971561,RIGHT,True,,GAZE,TURN_RIGHT,R,35,19,,27.462753802536554
1788178023.5312757,logic1,0.1951243925245278,0.41561522871291495,0.3180110965730266,RIGHT,True,,GAZE,TURN_RIGHT,R,50,26,,31.374060305040878
1788178023.5629566,logic1,0.19829318942241958,0.4147980998133534,0.3202187217875352,RIGHT,True,,GAZE,TURN_RIGHT,R,62,33,,31.564599638771824
1788178023.599236,logic1,0.19706986300404877,0.40942889575656927,0.3213742874877362,RIGHT,True,,GAZE,TURN_RIGHT,R,73,39,,27.564002470985635
1788178023.6307971,logic1,0.20287257874170528,0.4105145664733577,0.318880625412786,RIGHT,True,,GAZE,TURN_RIGHT,R,83,44,,31.684058649785843
1788178023.6628885,logic1,0.2035515213072221,0.41604077521274224,0.31639085003708267,RIGHT,True,,GAZE,TURN_RIGHT,R,91,49,,31.161711169556753
1788178023.698893,logic1,0.20124576953386097,0.4181056611113749,0.31639367029564436,RIGHT,True,,GAZE,TURN_RIGHT,R,98,53,,27.773536929372657
1788178023.731699,logic1,0.20048421029124083,0.424751546939334,0.31235047357881185,RIGHT,True,,GAZE,TURN_RIGHT,R,105,56,,30.482525055052072
1788178023.7632005,logic1,0.20123814322463973,0.42893363401853496,0.3105228634150727,RIGHT,True,,GAZE,TURN_RIGHT,R,111,59,,31.74472851671889
1788178023.7990842,logic1,0.1989921692903292,0.4287324232877892,0.31338664652742293,RIGHT,True,,GAZE,TURN_RIGHT,R,115,62,,27.86764823132325
1788178023.8310688,logic1,0.19918142015858492,0.43048949551366655,0.3093006913789964,RIGHT,True,,GAZE,TURN_RIGHT,R,120,64,,31.265077933404395
1788178023.8629243,logic1,0.20246223095823862,0.41888447809968754,0.3096278087663537,RIGHT,True,,GAZE,TURN_RIGHT,R,124,66,,31.392141306788414
1788178023.8986654,logic1,0.19689509159437596,0.41643116434437855,0.31240273068141594,RIGHT,True,,GAZE,TURN_RIGHT,R,127,68,,27.979000593693506
